# tau	obs1	obs2	std1	std2
6.199999999999997735e-01 -8.442382812500000000e-01 9.550781250000000000e-01 8.374500400094507871e-03 4.630533407219103968e-03
6.299999999999996714e-01 -7.490234375000000000e-01 9.321289062500000000e-01 1.035224219555882889e-02 5.658228722719512230e-03
6.399999999999996803e-01 -7.573242187500000000e-01 9.135742187500000000e-01 1.020373547770138389e-02 6.354250600363393203e-03
6.499999999999996891e-01 -7.812500000000000000e-01 9.028320312500000000e-01 9.753410329803797671e-03 6.718646862380602686e-03
6.599999999999996980e-01 -7.333984375000000000e-01 9.106445312500000000e-01 1.062185996653005650e-02 6.456104368677354974e-03
6.699999999999997069e-01 -7.827148437500000000e-01 9.047851562500000000e-01 9.724695144209196881e-03 6.654192409193627512e-03
6.799999999999997158e-01 -7.622070312500000000e-01 9.438476562500000000e-01 1.011458329795522464e-02 5.162203045318837849e-03
6.899999999999997247e-01 -8.188476562500000000e-01 9.477539062500000000e-01 8.968920347003262947e-03 4.984412548542596459e-03
6.999999999999996225e-01 -8.208007812500000000e-01 9.643554687500000000e-01 8.925227553933816338e-03 4.134533546774798313e-03
7.099999999999996314e-01 -8.149414062500000000e-01 9.687500000000000000e-01 9.055364976533017418e-03 3.875612272067271557e-03
7.199999999999996403e-01 -8.427734375000000000e-01 9.633789062500000000e-01 8.410444658670026066e-03 4.189746452946637931e-03
7.299999999999996492e-01 -8.242187500000000000e-01 9.492187500000000000e-01 8.847992745373220447e-03 4.915888339468507326e-03
7.399999999999996581e-01 -8.232421875000000000e-01 9.399414062500000000e-01 8.870161267870003627e-03 5.333372434729487070e-03
7.499999999999996669e-01 -8.120117187500000000e-01 9.311523437500000000e-01 9.119392656049132156e-03 5.697349659859368524e-03
7.599999999999996758e-01 -7.983398437500000000e-01 9.326171875000000000e-01 9.409487268422020087e-03 5.638550985987406290e-03
7.699999999999996847e-01 -7.983398437500000000e-01 9.272460937500000000e-01 9.409487268422020087e-03 5.850820455815827423e-03
7.799999999999996936e-01 -8.305664062500000000e-01 9.453125000000000000e-01 8.701868805337879473e-03 5.096344176061548201e-03
7.899999999999995914e-01 -7.749023437500000000e-01 9.467773437500000000e-01 9.876265218230487891e-03 5.029518854001584043e-03
7.999999999999996003e-01 -7.626953125000000000e-01 9.570312500000000000e-01 1.010559314272259888e-02 4.531012561759634530e-03
8.099999999999996092e-01 -7.729492187500000000e-01 9.609375000000000000e-01 9.913560803324507689e-03 4.324460347636316024e-03
8.199999999999996181e-01 -7.846679687500000000e-01 9.633789062500000000e-01 9.686191681031148387e-03 4.189746452946637931e-03
8.299999999999996270e-01 -7.783203125000000000e-01 9.594726562500000000e-01 9.810428363495099849e-03 4.403152221919747790e-03
8.399999999999996358e-01 -7.763671875000000000e-01 9.633789062500000000e-01 9.848138780737356046e-03 4.189746452946637931e-03
8.499999999999996447e-01 -7.563476562500000000e-01 9.506835937500000000e-01 1.022140426734826843e-02 4.846287253174282224e-03
8.599999999999995426e-01 -8.188476562500000000e-01 9.428710937500000000e-01 8.968920347003262947e-03 5.205590176400593308e-03
8.699999999999995515e-01 -8.315429687500000000e-01 9.477539062500000000e-01 8.679069244441686704e-03 4.984412548542596459e-03
8.799999999999995604e-01 -8.056640625000000000e-01 9.482421875000000000e-01 9.255823472986344364e-03 4.961688029969428537e-03
8.899999999999995692e-01 -7.983398437500000000e-01 9.453125000000000000e-01 9.409487268422020087e-03 5.096344176061548201e-03
8.999999999999995781e-01 -7.900390625000000000e-01 9.379882812500000000e-01 9.579007908482576120e-03 5.416671319456730672e-03
9.099999999999995870e-01 -7.792968750000000000e-01 9.443359375000000000e-01 9.791483023456722806e-03 5.140355168307604930e-03
9.199999999999995959e-01 -7.924804687500000000e-01 9.477539062500000000e-01 9.529645185717515801e-03 4.984412548542596459e-03
9.299999999999996048e-01 -7.983398437500000000e-01 9.521484375000000000e-01 9.409487268422020087e-03 4.775562205284335227e-03
9.399999999999996136e-01 -7.963867187500000000e-01 9.428710937500000000e-01 9.449808227512854555e-03 5.205590176400593308e-03
9.499999999999995115e-01 -8.364257812500000000e-01 9.604492187500000000e-01 8.563753222332458337e-03 4.350862494261718838e-03
9.599999999999995204e-01 -8.237304687500000000e-01 9.438476562500000000e-01 8.859087225993435635e-03 5.162203045318837849e-03
9.699999999999995293e-01 -8.217773437500000000e-01 9.458007812500000000e-01 8.903261522996705826e-03 5.074178326602111176e-03
9.799999999999995381e-01 -8.110351562500000000e-01 9.296875000000000000e-01 9.140584606301479717e-03 5.755456657288224656e-03
9.899999999999995470e-01 -8.095703125000000000e-01 9.482421875000000000e-01 9.172233131831689784e-03 4.961688029969428537e-03
9.999999999999995559e-01 -8.076171875000000000e-01 9.243164062500000000e-01 9.214173631772553524e-03 5.962922161767344152e-03
1.009999999999999565e+00 -8.237304687500000000e-01 9.375000000000000000e-01 8.859087225993435635e-03 5.437269885576192889e-03
1.019999999999999574e+00 -8.061523437500000000e-01 9.189453125000000000e-01 9.245438046648174826e-03 6.162265316158325318e-03
1.029999999999999583e+00 -8.051757812500000000e-01 9.316406250000000000e-01 9.266190977766351061e-03 5.677828010807899062e-03
1.039999999999999591e+00 -8.237304687500000000e-01 9.184570312500000000e-01 8.859087225993435635e-03 6.180012075614840263e-03
1.049999999999999600e+00 -8.110351562500000000e-01 9.384765625000000000e-01 9.140584606301479717e-03 5.395983334123138908e-03
1.059999999999999609e+00 -8.295898437500000000e-01 9.345703125000000000e-01 8.724582098847145570e-03 5.559038841404793582e-03
1.069999999999999618e+00 -8.037109375000000000e-01 9.482421875000000000e-01 9.297186561781372108e-03 4.961688029969428537e-03
1.079999999999999627e+00 -8.408203125000000000e-01 9.516601562500000000e-01 8.458036380618714004e-03 4.799265156921608995e-03
1.089999999999999636e+00 -8.188476562500000000e-01 9.438476562500000000e-01 8.968920347003262947e-03 5.162203045318837849e-03
1.099999999999999645e+00 -8.144531250000000000e-01 9.316406250000000000e-01 9.066083709225779622e-03 5.677828010807899062e-03
1.109999999999999654e+00 -7.612304687500000000e-01 9.160156250000000000e-01 1.013252244484929947e-02 6.267852915074246384e-03
1.119999999999999662e+00 -7.534179687500000000e-01 8.994140625000000000e-01 1.027409235513444472e-02 6.829650576449571714e-03
1.129999999999999671e+00 -7.695312500000000000e-01 8.955078125000000000e-01 9.978268076524682631e-03 6.953840513596872691e-03
1.139999999999999680e+00 -7.861328125000000000e-01 9.023437500000000000e-01 9.657150053002237777e-03 6.734642483738376498e-03
1.149999999999999467e+00 -7.832031250000000000e-01 8.964843750000000000e-01 9.715092571831543747e-03 6.923052336754097549e-03
1.159999999999999476e+00 -8.041992187500000000e-01 9.155273437500000000e-01 9.286872462631328914e-03 6.285245985726504829e-03
1.169999999999999485e+00 -7.866210937500000000e-01 9.213867187500000000e-01 9.647438015887889462e-03 6.072609855475120944e-03
1.179999999999999494e+00 -8.164062500000000000e-01 9.511718750000000000e-01 9.023093675280398698e-03 4.822839547509493244e-03
1.189999999999999503e+00 -8.198242187500000000e-01 9.506835937500000000e-01 8.947113633504267735e-03 4.846287253174282224e-03
1.199999999999999512e+00 -8.154296875000000000e-01 9.384765625000000000e-01 9.044627105548947582e-03 5.395983334123138908e-03
1.209999999999999520e+00 -7.880859375000000000e-01 9.130859375000000000e-01 9.618206753395409231e-03 6.371362142563850688e-03
1.219999999999999529e+00 -7.519531250000000000e-01 8.701171875000000000e-01 1.030025904419984428e-02 7.700701317764657369e-03
1.229999999999999538e+00 -7.343750000000000000e-01 8.457031250000000000e-01 1.060537433055345341e-02 8.338338372116985489e-03
1.239999999999999547e+00 -6.982421875000000000e-01 7.963867187500000000e-01 1.118533768815454729e-02 9.449808227512854555e-03
1.249999999999999556e+00 -7.006835937500000000e-01 8.110351562500000000e-01 1.114800226298259637e-02 9.140584606301479717e-03
1.259999999999999565e+00 -7.001953125000000000e-01 8.115234375000000000e-01 1.115548978013183520e-02 9.129997967564950842e-03
1.269999999999999574e+00 -7.343750000000000000e-01 8.510742187500000000e-01 1.060537433055345341e-02 8.203834406513899058e-03
1.279999999999999583e+00 -7.910156250000000000e-01 9.023437500000000000e-01 9.559311674942717191e-03 6.734642483738376498e-03
1.289999999999999591e+00 -8.056640625000000000e-01 9.375000000000000000e-01 9.255823472986344364e-03 5.437269885576192889e-03
1.299999999999999378e+00 -8.198242187500000000e-01 9.501953125000000000e-01 8.947113633504267735e-03 4.869610103921633362e-03
1.309999999999999387e+00 -7.622070312500000000e-01 9.326171875000000000e-01 1.011458329795522464e-02 5.638550985987406290e-03
1.319999999999999396e+00 -7.436523437500000000e-01 8.476562500000000000e-01 1.044635187465202397e-02 8.289778654205848599e-03
1.329999999999999405e+00 -6.469726562500000000e-01 7.661132812500000000e-01 1.191426876937035431e-02 1.004227441678435563e-02
1.339999999999999414e+00 -5.268554687500000000e-01 6.113281250000000000e-01 1.328054515637230176e-02 1.236526925252726464e-02
1.349999999999999423e+00 -4.409179687500000000e-01 5.468750000000000000e-01 1.402417820844453072e-02 1.308147297326056092e-02
1.359999999999999432e+00 -4.516601562500000000e-01 5.117187500000000000e-01 1.394046968831805407e-02 1.342426602046067549e-02
1.369999999999999440e+00 -4.707031250000000000e-01 5.410156250000000000e-01 1.378580714154083869e-02 1.314082094742672312e-02
1.379999999999999449e+00 -5.126953125000000000e-01 5.908203125000000000e-01 1.341516600131739678e-02 1.260629956238516411e-02
1.389999999999999458e+00 -6.201171875000000000e-01 7.163085937500000000e-01 1.225795613928637104e-02 1.090286926604170682e-02
1.399999999999999467e+00 -7.216796875000000000e-01 8.154296875000000000e-01 1.081604923514612425e-02 9.044627105548947582e-03
1.409999999999999476e+00 -7.895507812500000000e-01 9.096679687500000000e-01 9.588831748123794602e-03 6.489628644154119691e-03
1.419999999999999485e+00 -8.144531250000000000e-01 9.536132812500000000e-01 9.066083709225779622e-03 4.703662495854097313e-03
1.429999999999999494e+00 -7.827148437500000000e-01 8.867187500000000000e-01 9.724695144209196881e-03 7.223582297624636835e-03
1.439999999999999503e+00 -6.157226562500000000e-01 7.299804687500000000e-01 1.231192109382675884e-02 1.067918759395477223e-02
1.449999999999999512e+00 -4.321289062500000000e-01 5.209960937500000000e-01 1.409081011798290865e-02 1.333686032521475516e-02
1.459999999999999520e+00 -1.562500000000000000e-01 1.713867187500000000e-01 1.543308655203037838e-02 1.539380989124524389e-02
1.469999999999999307e+00 6.347656250000000000e-02 -8.056640625000000000e-02 1.559348952385457635e-02 1.557420692785449132e-02
1.479999999999999316e+00 2.724609375000000000e-01 -3.168945312500000000e-01 1.503385695247028489e-02 1.481969972757837643e-02
1.489999999999999325e+00 3.862304687500000000e-01 -4.423828125000000000e-01 1.441253612352804553e-02 1.401291124093894530e-02
1.499999999999999334e+00 4.023437500000000000e-01 -4.765625000000000000e-01 1.430451048528461749e-02 1.373657177747391461e-02
1.509999999999999343e+00 3.134765625000000000e-01 -3.574218750000000000e-01 1.483743652546697968e-02 1.459286001093350500e-02
1.519999999999999352e+00 9.423828125000000000e-02 -1.503906250000000000e-01 1.555546360089066042e-02 1.544729146015911755e-02
1.529999999999999361e+00 -1.059570312500000000e-01 1.206054687500000000e-01 1.553704233292957718e-02 1.551094561318974718e-02
1.539999999999999369e+00 -3.715820312500000000e-01 4.140625000000000000e-01 1.450625196955201979e-02 1.422263207730840341e-02
1.549999999999999378e+00 -5.522460937500000000e-01 6.245117187500000000e-01 1.302626789446110350e-02 1.220336620624213469e-02
1.559999999999999387e+00 -7.426757812500000000e-01 8.476562500000000000e-01 1.046329946664469046e-02 8.289778654205848599e-03
1.569999999999999396e+00 -8.222656250000000000e-01 9.394531250000000000e-01 8.892248340694155345e-03 5.354334955378518141e-03
1.579999999999999405e+00 -8.413085937500000000e-01 9.624023437500000000e-01 8.446173928118153040e-03 4.244186302374621488e-03
1.589999999999999414e+00 -7.871093750000000000e-01 9.047851562500000000e-01 9.637710152275526243e-03 6.654192409193627512e-03
1.599999999999999423e+00 -7.197265625000000000e-01 8.417968750000000000e-01 1.084777567601631805e-02 8.434287890323289433e-03
1.609999999999999432e+00 -6.455078125000000000e-01 7.343750000000000000e-01 1.193365104836351456e-02 1.060537433055345341e-02
1.619999999999999218e+00 -6.147460937500000000e-01 7.133789062500000000e-01 1.232382926008065809e-02 1.094966439756601094e-02
1.629999999999999227e+00 -5.878906250000000000e-01 6.850585937500000000e-01 1.263969415837515493e-02 1.138262453869855716e-02
1.639999999999999236e+00 -5.737304687500000000e-01 6.777343750000000000e-01 1.279756512588797399e-02 1.148916903492697497e-02
1.649999999999999245e+00 -6.215820312500000000e-01 7.280273437500000000e-01 1.223982934797538703e-02 1.071168894100402690e-02
1.659999999999999254e+00 -6.660156250000000000e-01 8.071289062500000000e-01 1.165527797614186213e-02 9.224613187071500214e-03
1.669999999999999263e+00 -7.309570312500000000e-01 8.618164062500000000e-01 1.066286701708181808e-02 7.925317945094914954e-03
1.679999999999999272e+00 -6.684570312500000000e-01 9.233398437500000000e-01 1.162110567092284122e-02 5.999746351729317792e-03
1.689999999999999281e+00 -7.070312500000000000e-01 9.638671875000000000e-01 1.104972350478007279e-02 4.162238544623971317e-03
1.699999999999999289e+00 -6.850585937500000000e-01 9.672851562500000000e-01 1.138262453869855716e-02 3.963931206512561790e-03
1.709999999999999298e+00 -6.875000000000000000e-01 9.497070312500000000e-01 1.134663089709204119e-02 4.892809885212173228e-03
1.719999999999999307e+00 -7.016601562500000000e-01 9.423828125000000000e-01 1.113299643632288845e-02 5.227131992156430242e-03
1.729999999999999316e+00 -6.962890625000000000e-01 9.291992187500000000e-01 1.121502311706605234e-02 5.774675566559641163e-03
1.739999999999999325e+00 -6.713867187500000000e-01 9.184570312500000000e-01 1.157979991560630084e-02 6.180012075614840263e-03
1.749999999999999334e+00 -6.542968750000000000e-01 9.204101562500000000e-01 1.181621551359731716e-02 6.108658531195271246e-03
1.759999999999999343e+00 -6.811523437500000000e-01 9.306640625000000000e-01 1.143971423029743230e-02 5.716794465236853251e-03
1.769999999999999352e+00 -6.782226562500000000e-01 9.321289062500000000e-01 1.148213231236986515e-02 5.658228722719512230e-03
1.779999999999999361e+00 -6.782226562500000000e-01 9.458007812500000000e-01 1.148213231236986515e-02 5.074178326602111176e-03
1.789999999999999147e+00 -6.928710937500000000e-01 9.614257812500000000e-01 1.126658551129922602e-02 4.297882471317996181e-03
1.799999999999999156e+00 -7.094726562500000000e-01 9.687500000000000000e-01 1.101145255679464828e-02 3.875612272067271557e-03
1.809999999999999165e+00 -7.182617187500000000e-01 9.755859375000000000e-01 1.087145352753447411e-02 3.431531699226229686e-03
1.819999999999999174e+00 -7.021484375000000000e-01 9.736328125000000000e-01 1.112547808528028571e-02 3.564389110669695469e-03
1.829999999999999183e+00 -6.923828125000000000e-01 9.658203125000000000e-01 1.127391166443258812e-02 4.050195427215011121e-03
1.839999999999999192e+00 -6.909179687500000000e-01 9.653320312500000000e-01 1.129583069665674074e-02 4.078516188216757196e-03
1.849999999999999201e+00 -7.026367187500000000e-01 9.682617187500000000e-01 1.111794941459997264e-02 3.905288756832478014e-03
1.859999999999999210e+00 -7.226562500000000000e-01 9.609375000000000000e-01 1.080011872782614402e-02 4.324460347636316024e-03
1.869999999999999218e+00 -7.055664062500000000e-01 9.584960937500000000e-01 1.107255949729588074e-02 4.454775962215497612e-03
1.879999999999999227e+00 -7.148437500000000000e-01 9.658203125000000000e-01 1.092631585644534414e-02 4.050195427215011121e-03
1.889999999999999236e+00 -8.149414062500000000e-01 9.741210937500000000e-01 9.055364976533017418e-03 3.531668072296274396e-03
1.899999999999999245e+00 -8.129882812500000000e-01 9.760742187500000000e-01 9.098125753371559890e-03 3.397462844848097262e-03
1.909999999999999254e+00 -8.432617187500000000e-01 9.824218750000000000e-01 8.398487262800185746e-03 2.916784482801634132e-03
1.919999999999999263e+00 -8.154296875000000000e-01 9.726562500000000000e-01 9.044627105548947582e-03 3.628898070360046108e-03
1.929999999999999272e+00 -8.461914062500000000e-01 9.746093750000000000e-01 8.326235479666269784e-03 3.498624386551267649e-03
1.939999999999999059e+00 -8.569335937500000000e-01 9.541015625000000000e-01 8.053544200847074369e-03 4.679425557022514996e-03
1.949999999999999067e+00 -8.222656250000000000e-01 9.755859375000000000e-01 8.892248340694155345e-03 3.431531699226229686e-03
1.959999999999999076e+00 -8.530273437500000000e-01 9.291992187500000000e-01 8.154159676088594197e-03 5.774675566559641163e-03
1.969999999999999085e+00 -8.085937500000000000e-01 9.711914062500000000e-01 9.193239962124639258e-03 3.723449381870580499e-03
1.979999999999999094e+00 -8.334960937500000000e-01 8.925781250000000000e-01 8.633208584005944153e-03 7.045199543954161481e-03
1.989999999999999103e+00 -8.271484375000000000e-01 9.736328125000000000e-01 8.780992299673258047e-03 3.564389110669695469e-03
1.999999999999999112e+00 -8.535156250000000000e-01 8.959960937500000000e-01 8.141675764132140503e-03 6.938467696880177074e-03
2.009999999999998899e+00 -8.588867187500000000e-01 9.702148437500000000e-01 8.002587538615111087e-03 3.785094796558773067e-03
2.019999999999999130e+00 -8.510742187500000000e-01 8.999023437500000000e-01 8.203834406513899058e-03 6.813929245738602897e-03
2.029999999999998916e+00 -8.632812500000000000e-01 9.716796875000000000e-01 7.886299609628184132e-03 3.692217086870396969e-03
2.039999999999999147e+00 -8.452148437500000000e-01 9.213867187500000000e-01 8.350416752334093723e-03 6.072609855475120944e-03
2.049999999999998934e+00 -8.554687500000000000e-01 9.746093750000000000e-01 8.091475575905060502e-03 3.498624386551267649e-03
2.059999999999999165e+00 -8.476562500000000000e-01 9.472656250000000000e-01 8.289778654205848599e-03 5.007022307327386491e-03
2.069999999999998952e+00 -8.500976562500000000e-01 9.838867187500000000e-01 8.228516874306469192e-03 2.793640092713590289e-03
2.079999999999999183e+00 -8.471679687500000000e-01 9.697265625000000000e-01 8.301955729029008788e-03 3.815521151264333628e-03
2.089999999999998970e+00 -8.457031250000000000e-01 9.790039062500000000e-01 8.338338372116985489e-03 3.185023223830273260e-03
2.099999999999999201e+00 -8.374023437500000000e-01 9.750976562500000000e-01 8.540421390645008826e-03 3.465248823409909033e-03
2.109999999999998987e+00 -8.417968750000000000e-01 9.790039062500000000e-01 8.434287890323289433e-03 3.185023223830273260e-03
2.119999999999999218e+00 -8.403320312500000000e-01 9.721679687500000000e-01 8.469875346921864473e-03 3.660702435118321201e-03
2.129999999999999005e+00 -8.417968750000000000e-01 9.726562500000000000e-01 8.434287890323289433e-03 3.628898070360046108e-03
2.139999999999999236e+00 -8.457031250000000000e-01 9.604492187500000000e-01 8.338338372116985489e-03 4.350862494261718838e-03
2.149999999999999023e+00 -8.134765625000000000e-01 9.550781250000000000e-01 9.087464030501582121e-03 4.630533407219103968e-03
2.159999999999999254e+00 -7.919921875000000000e-01 9.511718750000000000e-01 9.539550368090374960e-03 4.822839547509493244e-03
2.169999999999999041e+00 -7.993164062500000000e-01 9.653320312500000000e-01 9.389224660299611697e-03 4.078516188216757196e-03
2.179999999999999272e+00 -7.880859375000000000e-01 9.521484375000000000e-01 9.618206753395409231e-03 4.775562205284335227e-03
2.189999999999999059e+00 -8.076171875000000000e-01 9.672851562500000000e-01 9.214173631772553524e-03 3.963931206512561790e-03
2.199999999999998845e+00 -8.032226562500000000e-01 9.672851562500000000e-01 9.307482977509782054e-03 3.963931206512561790e-03
2.209999999999999076e+00 -8.129882812500000000e-01 9.726562500000000000e-01 9.098125753371559890e-03 3.628898070360046108e-03
2.219999999999998863e+00 -7.910156250000000000e-01 9.545898437500000000e-01 9.559311674942717191e-03 4.655049924244071546e-03
2.229999999999999094e+00 -8.037109375000000000e-01 9.462890625000000000e-01 9.297186561781372108e-03 5.051903700994202738e-03
2.239999999999998881e+00 -7.402343750000000000e-01 8.994140625000000000e-01 1.050545187317794733e-02 6.829650576449571714e-03
2.249999999999999112e+00 -7.578125000000000000e-01 8.974609375000000000e-01 1.019488103545536199e-02 6.892092843617547183e-03
2.259999999999998899e+00 -7.290039062500000000e-01 8.637695312500000000e-01 1.069546149768659492e-02 7.873235741178510189e-03
2.269999999999999130e+00 -7.456054687500000000e-01 8.779296875000000000e-01 1.041230685419429827e-02 7.481087218332567283e-03
2.279999999999998916e+00 -6.435546875000000000e-01 8.618164062500000000e-01 1.195937708425291908e-02 7.925317945094914954e-03
2.289999999999999147e+00 -7.500000000000000000e-01 8.852539062500000000e-01 1.033496605884605749e-02 7.267313672528587579e-03
2.299999999999998934e+00 -7.631835937500000000e-01 9.155273437500000000e-01 1.009658921744801055e-02 6.285245985726504829e-03
2.309999999999999165e+00 -7.836914062500000000e-01 9.306640625000000000e-01 9.705474501300033127e-03 5.716794465236853251e-03
2.319999999999998952e+00 -8.002929687500000000e-01 9.458007812500000000e-01 9.368893377943486936e-03 5.074178326602111176e-03
2.329999999999999183e+00 -7.963867187500000000e-01 9.340820312500000000e-01 9.449808227512854555e-03 5.579038766540611941e-03
2.339999999999998970e+00 -7.392578125000000000e-01 8.955078125000000000e-01 1.052222683108445730e-02 6.953840513596872691e-03
2.349999999999998757e+00 -6.821289062500000000e-01 8.320312500000000000e-01 1.142549911786477738e-02 8.667636901086789650e-03
2.359999999999998987e+00 -5.722656250000000000e-01 6.743164062500000000e-01 1.281356754740208166e-02 1.153816468094517184e-02
2.369999999999998774e+00 -5.454101562500000000e-01 6.210937500000000000e-01 1.309639518197800757e-02 1.224587934631826865e-02
